Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Lat,Long,Pair,plinkorder,sample2,Long,Lat
4979,97.1,2.91,15.3,0.00238,0.724,522436876,522.436876,FoxRidge_Nat_195_M_Co,FoxRidge,195,Nat,M,Co,4979,0.211,28.2,1.944827586,0.0113,1.66E+00,5405,0.5405,15.2421,1.05117931,1.093478,0.170045,Natural,FoxRidge,39.393248,-88.163216,4,55,4979,-88.163216,39.393248
4981,97.5,2.47,14.7,0.00372,1.18,536685622,536.685622,Hernan_Ag_52_F_So,Hernan,52,Ag,F,So,4981,0.000831,46.2,3.447761194,0.0034,2.55,11571,1.1571,53.45802,3.989404478,3.295501,0.757473,Agricultural,Hernan,38.63920603,-91.51230698,9,87,4981,-91.51230698,38.63920603
4982,97.1,2.92,12.1,0.00323,0.81,534269314,534.269314,Prairie_Ag_30_M_Co,Prairie,30,Ag,M,Co,4982,0.0273,13.4,0.8758169935,0.00726,5.28E-06,10658,1.0658,14.28172,0.9334457516,1.134755,0.194258,Agricultural,Prairie,41.35604002,-86.73699299,15,94,4982,-86.73699299,41.35604002
4984,96.9,3.08,11.4,0.00217,0.621,542882189,542.882189,Keysport_Nat_77_M_Co,Keysport,77,Nat,M,Co,4984,0.00733,26.4,1.795918367,0.00701,2.54,11954,1.1954,31.55856,2.146840816,2.408986,0.568212,Natural,Keysport,38.732444,-89.277403,5,142,4984,-89.277403,38.732444
4989,97.1,2.94,13.8,0.00283,0.629,538564334,538.564334,Bradley_Ag_62_M_Co,Bradley,62,Ag,M,Co,4989,0.0019,44.6,3.685950413,0.0058,1.34,10992,1.0992,49.02432,4.051596694,3.399691,0.691865,Agricultural,Bradley,41.16467102,-87.81988903,14,26,4989,-87.81988903,41.16467102
5002,97,2.97,13.5,0.00303,0.77,527485987,527.485987,Blanchard_Nat_71_F_Co,Blanchard,71,Nat,F,Co,5002,0.0273,13.9,1.219298246,0.00873,0.18,11081,1.1081,15.40259,1.351104386,1.079867,0.823221,Natural,Blanchard,41.03727398,-83.81345096,2,25,5002,-83.81345096,41.03727398
5006,97.2,2.8,13.5,0.00482,0.807,559469508,559.469508,Kakanee_Nat_169_F_Wa,Kakanee,169,Nat,F,Wa,5006,0.0139,12.1,0.8768115942,0.00392,1.9,13312,1.3312,16.10752,1.167211594,0.975637,0.09502,Natural,Kakanee,41.15132703,-87.89857297,14,81,5006,-87.89857297,41.15132703
5008,97.2,2.83,14.4,0.00295,0.959,515943017,515.943017,Mulberry_Ag_112_M_Co,Mulberry,112,Ag,M,Co,5008,0.0268,15.4,1.140740741,0.00502,0.806,11887,1.1887,18.30598,1.355998519,1.170983,0.2498,Agricultural,Mulberry,38.755485,-89.272475,5,50,5008,-89.272475,38.755485
5015,97.3,2.72,13.2,0.00253,0.733,543032563,543.032563,Weston_Ag_176_M_So,Weston,176,Ag,M,So,5015,0.0287,12.3,0.9111111111,0.0053,0.155,13260,1.326,16.3098,1.208133333,1.053901,0.224116,Agricultural,Weston,41.37218297,-83.79889,1,24,5015,-83.79889,41.37218297
5018,97.1,2.89,14.6,0.00345,0.898,512539503,512.539503,Mccombe_Ag_106_M_Wa,Mccombe,106,Ag,M,Wa,5018,0.175,25.6,1.777777778,0.0152,1.92,5480,0.548,14.0288,0.9742222222,1.142587,0.29626,Agricultural,Mccombe,41.06360497,-83.78943597,2,64,5018,-83.78943597,41.06360497
5031,97.2,2.8,15.8,0.00381,0.984,525300024,525.300024,Greentree_Nat_115_M_Co,Greentree,115,Nat,M,Co,5031,0.0228,16.5,1.25,0.0053,0.214,12271,1.2271,20.24715,1.533875,1.454662,0.606623,Natural,Greentree,38.558781,-90.447501,7,40,5031,-90.447501,38.558781
5032,97.6,2.43,13.6,0.00399,0.992,537194643,537.194643,Weston_Ag_188_F_Wa,Weston,188,Ag,F,Wa,5032,1.00E-05,7.43,0.5089041096,0.00319,1.42,45887,4.5887,34.094041,2.335208288,0.987727,0.189585,Agricultural,Weston,41.37218297,-83.79889,1,103,5032,-83.79889,41.37218297
5040,96.6,3.39,12,0.00267,0.677,527867565,527.867565,Maume_Nat_69_F_Wa,Maume,69,Nat,F,Wa,5040,1.47E-02,13,0.9558823529,0.00402,0.629,11695,1.1695,15.2035,1.117904412,1.138809,0.251363,Natural,Maume,41.55656599,-83.66247503,1,19,5040,-83.66247503,41.55656599
5053,97.4,2.62,14.6,0.00394,1.07,513250669,513.250669,Kansas_Nat_193_M_Co,Kansas,193,Nat,M,Co,5053,0.0254,15,1.25,0.00487,0.496,11732,1.1732,17.598,1.4665,1.173391,0.126317,Natural,Kansas,39.001464,-95.239938,16,17,5053,-95.239938,39.001464
5061,97.7,2.34,11.6,0.00318,0.801,571934456,571.934456,Jackson_Ag_88_M_So,Jackson,88,Ag,M,So,5061,0.00106,27.1,1.856164384,0.00682,1.14,11843,1.1843,32.09453,2.198255479,2.564173,0.426226,Agricultural,Jackson,39.463458,-91.98047097,10,74,5061,-91.98047097,39.463458
5066,96.8,3.15,15,0.00334,0.91,496888450,496.88845,Maume_Nat_1_M_Co,Maume,1,Nat,M,Co,5066,0.0241,16,1.379310345,0.00659,0.633,11168,1.1168,17.8688,1.540413793,1.17442,0.267221,Natural,Maume,41.55656599,-83.66247503,1,75,5066,-83.66247503,41.55656599
5073,98.2,1.83,13.5,0.00241,0.646,549280898,549.280898,Nunemaker_Ag_66_F_Wa,Nunemaker,66,Ag,F,Wa,5073,0.00085,111,7.4,0.00234,1.4,10001,1.0001,111.0111,7.40074,7.886072,2.465625,Agricultural,Nunemaker,38.988681,-95.215847,16,54,5073,-95.215847,38.988681
5079,97.1,2.89,12.7,0.0027,0.88,550064143,550.064143,FoxRidge_Nat_7_M_Co,FoxRidge,7,Nat,M,Co,5079,0.0251,12.6,0.9333333333,0.00396,0.912,12298,1.2298,15.49548,1.147813333,1.072005,0.11379,Natural,FoxRidge,39.393248,-88.163216,4,14,5079,-88.163216,39.393248
5084,97.1,2.88,11.9,0.00249,0.528,552146115,552.146115,Chesterfield_Ag_48_F_So,Chesterfield,48,Ag,F,So,5084,0.122,18.1,1.42519685,0.0256,0.449,4877,0.4877,8.82737,0.6950685039,0.998311,0.171547,Agricultural,Chesterfield,38.66890403,-90.63545798,7,97,5084,-90.63545798,38.66890403
5086,97.5,2.47,12.1,0.00255,0.814,549751087,549.751087,Weston_Ag_161_M_Wa,Weston,161,Ag,M,Wa,5086,0.2,17.4,1.462184874,0.00304,3.23,14494,1.4494,25.21956,2.119290756,1.072535,0.342988,Agricultural,Weston,41.37218297,-83.79889,1,113,5086,-83.79889,41.37218297
5089,97.3,2.67,12.2,0.00215,0.858,546247637,546.247637,WeldonSprings_Nat_83_F_Wa,WeldonSprings,83,Nat,F,Wa,5089,0.115,21.1,1.743801653,0.0109,1.39,5718,0.5718,12.06498,0.9971057851,1.024122,0.070054,Natural,WeldonSprings,38.65643696,-90.73639403,8,136,5089,-90.73639403,38.65643696
5097,96.9,3.14,16.1,0.00315,1.36,492267912,492.267912,Mulberry_Ag_10_F_Co,Mulberry,10,Ag,F,Co,5097,0.00235,50.6,4.147540984,0.00398,2.87,11057,1.1057,55.94842,4.585936066,3.228694,0.835911,Agricultural,Mulberry,38.755485,-89.272475,5,115,5097,-89.272475,38.755485
5098,97.1,2.95,13.7,0.00241,0.663,559085623,559.085623,Bradley_Ag_128_F_Co,Bradley,128,Ag,F,Co,5098,0.0334,13.8,0.8571428571,0.00595,0.138,10458,1.0458,14.43204,0.8964,0.955782,0.078189,Agricultural,Bradley,41.16467102,-87.81988903,14,116,5098,-87.81988903,41.16467102
5099,97.1,2.87,14,0.00204,0.617,538435980,538.43598,Granite_Ag_46_M_Co,Granite,46,Ag,M,Co,5099,0.0104,19.4,1.416058394,0.00555,1.97,11654,1.1654,22.60876,1.650274453,1.555686,0.163267,Agricultural,Granite,38.670222,-90.065665,6,118,5099,-90.065665,38.670222
5100,97.3,2.66,13.3,0.00191,0.699,547325246,547.325246,Lawrence_Nat_158_F_Co,Lawrence,158,Nat,F,Co,5100,0.0248,14.3,1.021428571,0.00328,0.544,11654,1.1654,16.66522,1.190372857,1.115176,0.212183,Natural,Lawrence,38.927036,-95.241462,17,168,5100,-95.241462,38.927036
5102,97.2,2.77,11,0.00212,0.6,551565718,551.565718,Nunemaker_Ag_172_F_Wa,Nunemaker,172,Ag,F,Wa,5102,0.00152,46.7,3.511278195,0.00515,1.53,11034,1.1034,51.52878,3.874344361,4.45214,1.272935,Agricultural,Nunemaker,38.988681,-95.215847,16,119,5102,-95.215847,38.988681
5105,98.1,1.92,12.4,0.00244,0.666,540974064,540.974064,Lawrence_Nat_33_M_Co,Lawrence,33,Nat,M,Co,5105,0.025,13.2,1.2,0.00645,0.693,10833,1.0833,14.29956,1.29996,1.075129,0.235507,Natural,Lawrence,38.927036,-95.241462,17,122,5105,-95.241462,38.927036
5110,97.1,2.92,12.3,0.00252,0.77,566943748,566.943748,Aurora_Nat_107_F_Co,Aurora,107,Nat,F,Co,5110,0.022,10.7,0.8629032258,0.00512,0.16,12991,1.2991,13.90037,1.120997581,0.931424,0.277739,Natural,Aurora,39.05562996,-84.89810603,3,123,5110,-84.89810603,39.05562996
5115,97.2,2.78,12,0.00311,0.701,559687113,559.687113,Aurora_Nat_73_M_Wa,Aurora,73,Nat,M,Wa,5115,0.0249,13,1.056910569,0.00684,0.198,11431,1.1431,14.8603,1.208154472,1.050158,0.299323,Natural,Aurora,39.05562996,-84.89810603,3,130,5115,-84.89810603,39.05562996
5116,97.4,2.65,12.1,0.00277,0.777,535046470,535.04647,Keysport_Nat_43_F_Co,Keysport,43,Nat,F,Co,5116,0.0356,14,1.166666667,0.00508,0.467,10908,1.0908,15.2712,1.2726,1.140712,0.212186,Natural,Keysport,38.732444,-89.277403,5,148,5116,-89.277403,38.732444
5117,97.2,2.85,17,0.00399,0.903,519134047,519.134047,Bradley_Ag_170_M_Co,Bradley,170,Ag,M,Co,5117,0.00257,51.1,4.223140496,0.00665,3.01,11145,1.1145,56.95095,4.706690083,3.358486,0.922193,Agricultural,Bradley,41.16467102,-87.81988903,14,89,5117,-87.81988903,41.16467102
5122,97.2,2.75,13,0.00208,0.846,573189722,573.189722,Mccombe_Ag_38_F_Co,Mccombe,38,Ag,F,Co,5122,0.0337,13,0.7647058824,0.00401,0.356,11450,1.145,14.885,0.8755882353,0.982509,0.080288,Agricultural,Mccombe,41.06360497,-83.78943597,2,61,5122,-83.78943597,41.06360497
5125,97,3.03,13.2,0.00324,0.95,551412699,551.412699,Kakanee_Nat_61_F_Wa,Kakanee,61,Nat,F,Wa,5125,1.00E-05,6.89,0.53,0.00474,1.15,25137,2.5137,17.319393,1.332261,0.954502,0.100025,Natural,Kakanee,41.15132703,-87.89857297,14,124,5125,-87.89857297,41.15132703
5134,97.1,2.94,11.5,0.00168,0.639,579755001,579.755001,AgLaughrey_Ag_74_F_Co,AgLaughrey,74,Ag,F,Co,5134,5.21E-04,45,3.409090909,0.00301,1.36,11043,1.1043,49.6935,3.764659091,3.645526,0.57177,Agricultural,AgLaughrey,39.01893298,-84.92674196,3,125,5134,-84.92674196,39.01893298
5136,97,3.04,11.6,0.00178,0.723,580527717,580.527717,AgLaughrey_Ag_40_F_Co,AgLaughrey,40,Ag,F,Co,5136,0.000763,45.6,3.965217391,0.0033,1.15,11455,1.1455,52.2348,4.542156522,3.695114,0.981644,Agricultural,AgLaughrey,39.01893298,-84.92674196,3,99,5136,-84.92674196,39.01893298
5137,97.4,2.64,11.9,0.00318,0.779,543475412,543.475412,Pontiac_Nat_59_F_So,Pontiac,59,Nat,F,So,5137,0.0324,13,1.120689655,0.00802,0.541,10026,1.0026,13.0338,1.123603448,1.02347,0.189692,Natural,Pontiac,40.87326997,-88.62446599,13,91,5137,-88.62446599,40.87326997
5138,96.7,3.3,14,0.00265,1.02,535570564,535.570564,Maume_Nat_175_F_Co,Maume,175,Nat,F,Co,5138,0.0251,13.7,1.151260504,0.00509,1.51,11854,1.1854,16.23998,1.364704202,1.018971,0.137473,Natural,Maume,41.55656599,-83.66247503,1,182,5138,-83.66247503,41.55656599
5142,97.1,2.92,14.5,0.00393,0.877,539710252,539.710252,Prairie_Ag_98_F_So,Prairie,98,Ag,F,So,5142,0.0372,104,7.428571429,0.00855,4.15,10081,1.0081,104.8424,7.488742857,7.574038,2.30322,Agricultural,Prairie,41.35604002,-86.73699299,15,126,5142,-86.73699299,41.35604002
5144,90.4,9.56,19.8,0.0104,1.17,262611203,262.611203,AgLaughrey_Ag_108_M_Co,AgLaughrey,108,Ag,M,Co,5144,0.00154,25.8,1.779310345,0.00643,1.29,11347,1.1347,29.27526,2.018983448,2.425692,0.433556,Agricultural,AgLaughrey,39.01893298,-84.92674196,3,127,5144,-84.92674196,39.01893298
5145,97.1,2.94,19.8,0.00276,0.739,518251370,518.25137,Hickory_Ag_22_F_Co,Hickory,22,Ag,F,Co,5145,0.00597,10.7,0.5404040404,0.00387,0.965,22078,2.2078,23.62346,1.19310404,1.07576,0.109755,Agricultural,Hickory,40.17519498,-90.26269396,11,73,5145,-90.26269396,40.17519498
5147,97.4,2.6,11.8,0.00292,0.784,577916533,577.916533,Mulberry_Ag_142_F_Co,Mulberry,142,Ag,F,Co,5147,0.00146,35.9,1.813131313,0.00615,1.05,11480,1.148,41.2132,2.081474747,3.116942,0.827526,Agricultural,Mulberry,38.755485,-89.272475,5,129,5147,-89.272475,38.755485
5150,97.2,2.77,14.9,0.00233,0.662,540468386,540.468386,Greenup_Ag_200_M_Wa,Greenup,200,Ag,M,Wa,5150,0.0236,13.5,1.144067797,0.0047,0.373,12076,1.2076,16.3026,1.381576271,1.000389,0.118504,Agricultural,Greenup,39.305104,-88.139778,4,131,5150,-88.139778,39.305104
5151,97,3.04,13.6,0.00213,0.801,543068419,543.068419,Keysport_Nat_9_F_Wa,Keysport,9,Nat,F,Wa,5151,0.0246,12.9,0.8657718121,0.00525,0.983,14361,1.4361,18.52569,1.243334899,1.137551,0.699117,Natural,Keysport,38.732444,-89.277403,5,132,5151,-89.277403,38.732444
5156,97,2.98,14.2,0.00267,0.665,551839569,551.839569,Kakanee_Nat_152_M_Co,Kakanee,152,Nat,M,Co,5156,0.057,15.5,1.139705882,0.00472,0.309,11968,1.1968,18.5504,1.364,1.115935,0.205184,Natural,Kakanee,41.15132703,-87.89857297,14,84,5156,-87.89857297,41.15132703
5157,90,10,21,0.0125,0.99,241510763,241.510763,WeldonSprings_Nat_117_M_Co,WeldonSprings,117,Nat,M,Co,5157,0.0252,10.7,0.7535211268,0.00576,0.64,12373,1.2373,13.23911,0.9323316901,1.040081,0.256216,Natural,WeldonSprings,38.65643696,-90.73639403,8,144,5157,-90.73639403,38.65643696
5161,90.4,9.62,18.2,0.012,1.03,239357197,239.357197,Greentree_Nat_145_M_Co,Greentree,145,Nat,M,Co,5161,0.0196,10.5,0.5,0.00755,0.105,10445,1.0445,10.96725,0.52225,1.050682,0.220579,Natural,Greentree,38.558781,-90.447501,7,162,5161,-90.447501,38.558781
5163,97.3,2.66,13.5,0.00267,0.861,549144994,549.144994,Lawrence_Nat_185_F_So,Lawrence,185,Nat,F,So,5163,0.000935,54.7,3.005494505,0.00622,0.832,10906,1.0906,59.65582,3.277792308,4.063073,0.639109,Natural,Lawrence,38.927036,-95.241462,17,135,5163,-95.241462,38.927036
5165,96.8,3.15,11.7,0.00166,0.663,568801169,568.801169,Mulberry_Ag_44_M_So,Mulberry,44,Ag,M,So,5165,0.0085,56.2,4.162962963,0.0041,0.912,10685,1.0685,60.0497,4.448125926,4.552724,1.017472,Agricultural,Mulberry,38.755485,-89.272475,5,137,5165,-89.272475,38.755485
5169,97.3,2.7,15,0.00177,0.862,549593644,549.593644,Maume_Nat_135_M_Wa,Maume,135,Nat,M,Wa,5169,0.00181,41.7,3.564102564,0.00667,1.96,11054,1.1054,46.09518,3.939758974,2.944147,0.611071,Natural,Maume,41.55656599,-83.66247503,1,186,5169,-83.66247503,41.55656599
5170,97.4,2.62,12.7,0.00268,0.844,534982711,534.982711,WSCSoy2_Ag_118_F_So,WSCSoy2,118,Ag,F,So,5170,0.0277,13,0.8666666667,0.00468,0.248,11652,1.1652,15.1476,1.00984,1.02848,0.090901,Agricultural,WSCSoy2,38.6589929,-90.7440433,8,177,5170,-90.7440433,38.6589929
5171,97.6,2.41,12.3,0.00273,0.794,529004467,529.004467,Kansas_Nat_99_M_Co,Kansas,99,Nat,M,Co,5171,0.0108,19.5,1.535433071,0.00487,1.51,10935,1.0935,21.32325,1.678996063,1.493698,0.172289,Natural,Kansas,39.001464,-95.239938,16,82,5171,-95.239938,39.001464
5176,97.3,2.68,11.8,0.00219,0.571,552899347,552.899347,Chesterfield_Ag_82_M_Co,Chesterfield,82,Ag,M,Co,5176,0.0224,12.1,0.9837398374,0.00497,0.358,11341,1.1341,13.72261,1.11565935,1.066766,0.260602,Agricultural,Chesterfield,38.66890403,-90.63545798,7,140,5176,-90.63545798,38.66890403
5183,97.2,2.84,12.1,0.00284,0.888,540985363,540.985363,Knox_Nat_29_F_Co,Knox,29,Nat,F,Co,5183,0.0145,14.5,1.228813559,0.00602,1.48,12325,1.2325,17.87125,1.514512712,1.242624,0.356323,Natural,Knox,41.31732501,-86.746256,15,141,5183,-86.746256,41.31732501
5189,96.8,3.24,14,0.0037,0.95,494482592,494.482592,Kakanee_Nat_127_M_Co,Kakanee,127,Nat,M,Co,5189,0.0228,15.4,1.272727273,0.00397,0.668,11932,1.1932,18.37528,1.518618182,1.290373,0.296038,Natural,Kakanee,41.15132703,-87.89857297,14,185,5189,-87.89857297,41.15132703
5197,97.3,2.68,12,0.00209,0.743,566948585,566.948585,Granite_Ag_144_F_Co,Granite,144,Ag,F,Co,5197,0.0145,17.8,1.271428571,0.0052,0.483,11427,1.1427,20.34006,1.452861429,1.48197,0.264605,Agricultural,Granite,38.670222,-90.065665,6,28,5197,-90.065665,38.670222
5202,97.2,2.77,16.6,0.00326,0.849,517077221,517.077221,FoxRidge_Nat_109_F_Co,FoxRidge,109,Nat,F,Co,5202,0.0153,17.1,1.425,0.00375,0.223,11845,1.1845,20.25495,1.6879125,1.148874,0.160143,Natural,FoxRidge,39.393248,-88.163216,4,139,5202,-88.163216,39.393248
5203,97.4,2.59,13.1,0.00215,0.565,540534263,540.534263,Baldwin_Ag_68_M_Co,Baldwin,68,Ag,M,Co,5203,0.000109,105,6.325301205,0.00253,1.69,10265,1.0265,107.7825,6.492921687,8.300403,2.766685,Agricultural,Baldwin,38.782048,-95.171401,17,143,5203,-95.171401,38.782048
5204,97.5,2.49,12.2,0.00271,0.809,547903891,547.903891,Lawrence_Nat_67_F_So,Lawrence,67,Nat,F,So,5204,0.00202,30.6,2.335877863,0.00607,1.42,10991,1.0991,33.63246,2.567363359,2.563452,0.42963,Natural,Lawrence,38.927036,-95.241462,17,147,5204,-95.241462,38.927036
5205,97.3,2.69,12.8,0.00193,0.668,550217703,550.217703,MarkTwain_Nat_87_M_Wa,MarkTwain,87,Nat,M,Wa,5205,0.147,23.4,1.918032787,0.0115,1.13,5484,0.5484,12.83256,1.05184918,1.039339,0.178191,Natural,MarkTwain,39.46407096,-91.68243396,10,62,5205,-91.68243396,39.46407096
5206,97.3,2.71,13,0.00288,0.775,528749847,528.749847,FoxRidge_Nat_189_F_Co,FoxRidge,189,Nat,F,Co,5206,0.00617,13.1,1.0234375,0.00369,1.98,14261,1.4261,18.68191,1.459524219,1.133237,0.32685,Natural,FoxRidge,39.393248,-88.163216,4,149,5206,-88.163216,39.393248
5208,96.8,3.2,13.6,0.00196,0.621,570882695,570.882695,Browning_Nat_21_F_Co,Browning,21,Nat,F,Co,5208,0.0239,13.9,1.069230769,0.00566,0.281,11930,1.193,16.5827,1.275592308,1.068036,0.310668,Natural,Browning,40.12487104,-90.36914203,11,151,5208,-90.36914203,40.12487104
5209,97,3.04,11.6,0.00183,0.555,571681182,571.681182,Pontoon_Nat_143_F_Co,Pontoon,143,Nat,F,Co,5209,0.00127,82.5,6.066176471,0.00835,3.38,11238,1.1238,92.7135,6.817169118,7.344317,3.544975,Natural,Pontoon,38.699066,-90.068054,6,152,5209,-90.068054,38.699066
5213,96.8,3.17,17,0.00293,0.809,511970280,511.97028,Pekin_Nat_168_M_Co,Pekin,168,Nat,M,Co,5213,0.0225,17.4,1.5,0.00393,0.376,11995,1.1995,20.8713,1.79925,1.153911,0.194544,Natural,Pekin,40.57469501,-89.65567603,12,154,5213,-89.65567603,40.57469501
